date,tank,tag,treatment,ymd,variable,value
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,ta,2482.653209
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,spec_pHCorrected,8.160181219
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,ph_calc,8.119808323
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,CO2,9.540738053
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,pCO2,349.7341849
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,HCO3,1829.736226
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,CO3,270.5380466
2024-03-13T16:28:00Z,TTD2,9502,eAE,3/13/2024,OmegaAragonite,4.360867897
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,temp.ERL,27.9422
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,salinity,34.92112278
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,DIC,2066.005731
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,ta,2441.322499
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,spec_pHCorrected,8.09326489
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,ph_calc,8.09833497
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,CO2,9.488326106
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,pCO2,360.1937842
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,HCO3,1787.149229
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,CO3,269.368176
2024-03-21T14:47:00Z,TTB1,9283,eAE,3/21/2024,OmegaAragonite,4.340007246
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,temp.ERL,27.3182
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,salinity,34.91884796
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,DIC,2112.629491
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,ta,2431.301243
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,spec_pHCorrected,8.028250122
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,ph_calc,8.022812959
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,CO2,11.94558331
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,pCO2,446.735447
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,HCO3,1869.225678
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,CO3,231.4582298
2024-03-21T14:51:00Z,TTB2,8996,control,3/21/2024,OmegaAragonite,3.717194145
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,temp.ERL,28.1115
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,salinity,34.89230325
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,DIC,2056.743857
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,ta,2432.306592
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,spec_pHCorrected,8.061008683
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,ph_calc,8.097975767
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,CO2,9.421003606
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,pCO2,359.0295574
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,HCO3,1778.075609
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,CO3,269.247245
2024-03-21T14:52:00Z,TTD1,8999,control,3/21/2024,OmegaAragonite,4.342817905
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,temp.ERL,27.9666
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,salinity,34.96890615
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,DIC,2033.038587
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,ta,2441.99448
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,spec_pHCorrected,8.126308458
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,ph_calc,8.145282031
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,CO2,8.25198871
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,pCO2,313.5182657
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,HCO3,1733.157587
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,CO3,291.6290109
2024-03-21T14:53:00Z,TTD2,8995,eAE,3/21/2024,OmegaAragonite,4.697697381
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,temp.ERL,27.9068
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,salinity,33.15180254
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,DIC,2104.69376
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,ta,2475.641764
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,spec_pHCorrected,8.071416779
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,ph_calc,8.109650239
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,CO2,9.588264021
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,pCO2,360.4328127
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,HCO3,1824.633916
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,CO3,270.47158
2024-04-02T13:51:00Z,TTB1,9275,eAE,4/2/2024,OmegaAragonite,4.40802333
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,temp.ERL,28.1905
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,salinity,33.13999312
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,DIC,2098.933492
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,ta,2466.783639
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,spec_pHCorrected,8.165239685
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,ph_calc,8.102384174
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,CO2,9.68201389
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,pCO2,366.4082079
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,HCO3,1821.115173
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,CO3,268.1363047
2024-04-02T13:53:00Z,TTB2,8997,control,4/2/2024,OmegaAragonite,4.377171225
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,temp.ERL,28.008
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,salinity,33.13736879
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,DIC,2095.855562
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,ta,2467.174553
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,spec_pHCorrected,8.131786175
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,ph_calc,8.110228457
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,CO2,9.513342843
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,pCO2,358.4566914
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,HCO3,1815.908814
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,CO3,270.433405
2024-04-02T13:54:00Z,TTD1,9000,control,4/2/2024,OmegaAragonite,4.410262512
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,temp.ERL,28.2866
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,salinity,33.05207625
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,DIC,2087.03258
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,ta,2474.797066
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,spec_pHCorrected,8.124444135
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,ph_calc,8.129763242
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,CO2,8.956765926
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,pCO2,339.586517
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,HCO3,1796.036658
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,CO3,282.0391563
2024-04-02T13:57:00Z,TTD2,8993,eAE,4/2/2024,OmegaAragonite,4.609118397
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,temp.ERL,28.3746
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,salinity,31.37945744
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,DIC,2070.630953
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,ta,2482.290769
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,spec_pHCorrected,8.25870831
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,ph_calc,8.18350213
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,CO2,7.87309645
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,pCO2,296.6097508
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,HCO3,1761.285661
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,CO3,301.472195
2024-04-04T14:23:00Z,TTB1,5498,eAE,4/4/2024,OmegaAragonite,4.977546806
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,temp.ERL,28.2826
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,salinity,31.47304558
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,DIC,2071.420401
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,ta,2434.138904
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,spec_pHCorrected,8.167876485
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,ph_calc,8.120948622
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,CO2,9.279950772
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,pCO2,349.0108874
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,HCO3,1796.201997
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,CO3,265.9384524
2024-04-04T14:25:00Z,TTB2,5499,control,4/4/2024,OmegaAragonite,4.386223958
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,temp.ERL,28.514
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,salinity,31.4713932
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,DIC,2081.476396
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,ta,2472.496854
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,spec_pHCorrected,8.231690112
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,ph_calc,8.15259115
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,CO2,8.543687016
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,pCO2,323.0916873
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,HCO3,1786.122353
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,CO3,286.8103569
2024-04-04T14:27:00Z,TTD1,5496,control,4/4/2024,OmegaAragonite,4.736959269
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,temp.ERL,28.1546
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,salinity,31.42411249
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,DIC,2072.096655
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,ta,2481.004301
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,spec_pHCorrected,8.184157506
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,ph_calc,8.182618198
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,CO2,7.932869445
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,pCO2,297.3644248
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,HCO3,1764.767909
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,CO3,299.3958766
2024-04-04T14:29:00Z,TTD2,5497,eAE,4/4/2024,OmegaAragonite,4.935682525
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,temp.ERL,28.2066
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,salinity,32.96940445
2024-04-11T14:40:00Z,TTB1,8994,eAE,4/11/2024,DIC,2001.24548
