date,tank,tag,type,ymd,variable,value
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,dic,2122.7032512141577
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,ta,2389.266807458319
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,spec_pHCorrected,7.979645140320132
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,ph_calc,7.946893237768087
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,CO2,14.764375054057615
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,pCO2,539.795924158316
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,HCO3,1913.0352213135366
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,CO3,194.90365484656334
2023-11-07T15:09:00Z,loop,10006,loop,2023-11-07,OmegaAragonite,3.0931688062114864
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,temp.ERL,27.893409
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,pH.ERL,8.069061
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,sal,35.56549753114544
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,dic,2074.0677096802406
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,ta,2401.48197391887
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,spec_pHCorrected,8.013812054481614
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,ph_calc,8.024643252740812
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,CO2,11.446573940586294
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,pCO2,435.4475738569425
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,HCO3,1827.1774430236915
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,CO3,235.4436927159629
2023-11-07T15:01:00Z,T5,10040,tank,2023-11-07,OmegaAragonite,3.775011028092613
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,temp.ERL,27.923094
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,pH.ERL,8.018236
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,sal,35.59860050848125
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,dic,2081.583662579047
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,ta,2409.6095829205424
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,spec_pHCorrected,8.047681383451685
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,ph_calc,8.023507520805955
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,CO2,11.509852743260014
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,pCO2,438.2380884028126
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,HCO3,1833.9448867059918
2023-11-07T15:03:00Z,T6,10046,tank,2023-11-07,CO3,236.12892312979488
